Event,Img_Name,Done_Time,Queue,Cumuli,CC_Cat_Bool,CC_Time,CR_Class,CR_Val,CR_Time,BBS_Time,HAAR_Time,FF_BBS_Bool,FF_BBS_Val,FF_BBS_Time,Face_Bool,PC_Class,PC_Val,PC_Time,Total_Time
55,2020_05_31_11-26-54.004137,2020_05_31_11-27-07.268542,16,-5,True,0.6255621910095215,,,,0.46542930603027344,0.4970133304595947,True,0.49083748,0.5429868698120117,True,True,0.55263954,3.97849440574646,6.109486103057861
60,2020_05_31_11-52-52.727455,2020_05_31_11-52-54.830993,2,0,True,0.47669100761413574,,,,0.45744919776916504,0.6273612976074219,False,0.7166614,0.390427827835083,False,,,,1.9519293308258057
60,2020_05_31_11-52-53.967494,2020_05_31_11-52-57.838926,5,0,True,0.5633609294891357,,,,0.4407999515533447,0.7846252918243408,False,0.5174503,0.31324052810668945,False,,,,2.1020267009735107
60,2020_05_31_11-52-55.799147,2020_05_31_11-53-01.390888,7,0,True,0.6164333820343018,,,,0.36090922355651855,0.3870677947998047,False,0.9644069,0.4350442886352539,False,,,,1.799454689025879
60,2020_05_31_11-53-00.169693,2020_05_31_11-53-06.445888,9,0,True,0.5657203197479248,,,,0.527550458908081,0.6791465282440186,False,0.6895124,0.5011172294616699,False,,,,2.2735345363616943
60,2020_05_31_11-53-00.640513,2020_05_31_11-53-09.111874,11,0,True,0.6256468296051025,,,,0.37836480140686035,0.8312463760375977,False,0.8321739,0.4480569362640381,False,,,,2.2833149433135986
65,2020_05_31_12-01-24.819983,2020_05_31_12-01-26.675692,3,0,True,0.5668735504150391,,,,0.4239978790283203,0.19870877265930176,False,0.82880646,0.45489025115966797,False,,,,1.644470453262329
65,2020_05_31_12-01-25.248481,2020_05_31_12-01-30.993377,6,5,True,0.571052074432373,,,,,0.29643750190734863,,,,True,False,0.4493092,3.0635452270507812,3.931034803390503
65,2020_05_31_12-01-26.247089,2020_05_31_12-01-33.152843,8,5,True,0.5641441345214844,,,,0.4587595462799072,0.3231515884399414,False,0.95235604,0.37032604217529297,False,,,,1.716381311416626
65,2020_05_31_12-01-26.775423,2020_05_31_12-01-35.605925,11,5,True,0.6637179851531982,,,,0.41269946098327637,0.6189248561859131,False,0.9648296,0.36429667472839355,False,,,,2.0596389770507812
65,2020_05_31_12-01-27.926439,2020_05_31_12-01-40.708724,16,11,True,0.5700523853302002,,,,,0.3198575973510742,,,,True,False,0.44490466,3.808427572250366,4.698337554931641
68,2020_05_31_13-51-53.286948,2020_05_31_13-51-59.051679,7,-2,True,0.5608096122741699,,,,0.47731637954711914,0.7645678520202637,True,0.111659,0.43033933639526367,True,True,0.51667374,3.243037462234497,5.4760706424713135
68,2020_05_31_13-51-53.686479,2020_05_31_13-52-05.556979,13,-3,True,0.6106605529785156,,,,0.41538023948669434,0.9156954288482666,True,0.15387146,0.4078068733215332,True,True,0.50549984,3.753582000732422,6.103125095367432
68,2020_05_31_13-51-55.857815,2020_05_31_13-52-09.956364,16,-3,True,0.7319025993347168,,,,0.5073709487915039,0.626929759979248,False,0.9963762,0.49230265617370605,False,,,,2.358505964279175
70,2020_05_31_21-33-02.919166,2020_05_31_21-33-05.505946,4,0,True,0.6489291191101074,,,,0.5724296569824219,0.5047671794891357,False,0.89381915,0.5454061031341553,False,,,,2.2715320587158203
70,2020_05_31_21-33-03.904697,2020_05_31_21-33-07.709919,5,0,True,0.5957729816436768,,,,0.42920517921447754,0.15836572647094727,False,0.7739218,0.5138723850250244,False,,,,1.697216272354126
71,2020_05_31_22-19-26.539387,2020_05_31_22-19-28.405800,0,0,True,0.549445390701294,,,,0.42302417755126953,0.22223353385925293,False,0.7909707,0.42157864570617676,False,,,,1.6162817478179932
75,2020_05_31_23-34-43.607063,2020_05_31_23-34-45.528805,2,0,True,0.6024301052093506,,,,0.4745523929595947,0.24535274505615234,False,0.77760506,0.37528443336486816,False,,,,1.6976196765899658
